src_lang,tgt_lang,src,tgt,issues,bias
eng_Latn,hin_Deva,"In 1940, his mother insisted that he study at Visva-Bharati University in Santiniketan, founded by Rabindranath Tagore.
","1940 में, उनकी माँ ने जोर देकर कहा कि वह रवींद्रनाथ टैगोर द्वारा स्थापित शांतिनिकेतन में विश्व-भारती विश्वविद्यालय में अध्ययन करें।
",minor translation differences,none
eng_Latn,hin_Deva,"With so much going on Humayun did not even meet Tahmasp until July, some six months after the former's arrival in Persia.
","इतना सब होने के बावजूद फारस में हुमायूं के आगमन के लगभग छह महीने बाद जुलाई तक हुमायूं ने तहमास्प से मुलाकात नहीं की।
",minor translation differences,none
eng_Latn,hin_Deva,"Humayun was amazed at their work and asked if they would work for him if he were to regain the sovereignty of Hindustan: they agreed.
","हुमायूं उनके काम से चकित हो गया और उसने पूछा कि अगर उन्हें हिंदुस्तान की संप्रभुता फिर से हासिल हो गई तो क्या वे उसके लिए काम करेंगे: वे सहमत हो गए।
",minor translation differences,none
eng_Latn,hin_Deva,"Among other trials, the Imperial party was forced to live on horse meat boiled in the soldiers' helmets.
","अन्य परेशानियों के अलावा, शाही जत्था  सैनिकों के शिरस्त्राण में उबाले गए घोड़े के मांस को खा कर रहने के लिए मजबूर थे।
",minor translation differences,none
eng_Latn,hin_Deva,"Askari Mirza took Akbar in, leaving the wives of Kamran and Askari Mirza to raise him.
","अस्करी मिर्जा ने अकबर को अपनी शरण में ले लिया और कामरान और अस्करी मिर्जा की पत्नियों की देखरेख में वे बड़े हुए।
",minor translation differences,none
eng_Latn,hin_Deva,"Akbar was left behind in camp close to Kandahar, as it was December, too cold and dangerous to include the 14-month-old toddler in the march through the mountains of the Hindu Kush.
","अकबर को कांधार के निकट शिविर में छोड़ दिया गया था, क्योंकि यह दिसंबर का महीना था, जबरदस्त ठंड और खतरों के बीच 14 महीने के बच्चे के साथ हिंदुकुश के पहाड़ों को पार  करना संभव नहीं था।
",minor translation differences,none
eng_Latn,hin_Deva,"His other brother, Askari Mirza, was now ordered to gather an army and march on Humayun.
","उनके दूसरे भाई, अस्करी मिर्जा, को हुमायूं पर कूच करने के लिए एक सेना एकत्र करने का आदेश दिया गया।
",minor translation differences,none
eng_Latn,hin_Deva,"Until finally Humayun had gathered hundreds of Sindhi and Baloch tribesmen alongside his Mughals and then marched towards Kandahar and later Kabul, thousands more gathered by his side as Humayun continually declared himself the rightful Timurid heir of the first Mughal Emperor, Babur.
","अंत में हुमायूं ने अपने मुगल सैनिकों के साथ सैकड़ों सिंधी और बलूच आदिवासियों को इकट्ठा किया और फिर कांधार और बाद में काबुल की ओर बढ़े एवं हजारों लोग उनके साथ लगातार  होते गए क्योंकि हुमायूं ने हमेशा खुद को पहले मुगल सम्राट बाबर का सही तैमूरी उत्तराधिकारी के रूप में जाहिर किया था।
",minor translation differences,none
eng_Latn,hin_Deva,"Kamran withdrew after Humayun refused to make a quick attack on the approaching enemy, instead opting to build a larger army under his own name.
","कामरान तब पीछे हट गया जब हुमायूं ने आने वाले दुश्मन पर अचानक हमला करने से इनकार कर दिया, इसके बजाय अपने नाम से बड़ी सेना बनाने का विकल्प चुना।
",minor translation differences,none
eng_Latn,hin_Deva,"This was a serious threat to the entire family, but Humayun and Kamran squabbled over how to proceed.
","यह पूरे परिवार के लिए एक गंभीर खतरा था, लेकिन हुमायूं और कामरान आगे बढ़ने के तरीके को लेकर आपस में उलझ गए।
",minor translation differences,none
eng_Latn,hin_Deva,"The Emperor survived by swimming across the Ganges using an air-filled ""water skin"", and quietly returned to Agra.
","सम्राट ने हवा से भरी मशक का उपयोग करके तैरते हुए गंगा पार की और चुपचाप आगरा लौट आए।
",minor translation differences,none
eng_Latn,hin_Deva,"That very night, his army approached the Mughal camp and finding the Mughal troops unprepared with a majority asleep, they advanced and killed most of them.
","उसी रात, उनकी सेना मुगल शिविर पहुंची और मुगल सैनिकों में से अधिकतर को सोते हुए देख कर, वे आगे बढ़े और उनमें से अधिकांश को मार डाला।
",minor translation differences,none
eng_Latn,hin_Deva,"Once the Army of Humayun had made its charge and Sher Shah's troops made their agreed-upon retreat, the Mughal troops relaxed their defensive preparations and returned to their entrenchments without posting a proper guard.
","जैसे ही जब हुमायूं की सेना आगे बढ़ी और शेरशाह की सेना पहले से किए गए समझौते का पालन करते हुए पीछे हटी, तो मुगल सैनिकों ने अपनी सुरक्षा की तैयारियों में ढील दे दी और उचित पहरेदार तैनात किए बिना अपनी खंदकों में लौट आए।
",minor translation differences,none
eng_Latn,hin_Deva,"The two rulers also struck a bargain in order to save face: Humayun's troops would charge those of Sher Shah whose forces then retreat in feigned fear.
","दोनों शासकों ने अपनी लाज रखने के लिए समझौता भी कियाः हुमायूं की सेना शेर शाह के सैनिकों पर हमला करेगी, और शेर शाह की सेना डरने का दिखावा करके पीछे हट जाएगी।
",minor translation differences,none
eng_Latn,hin_Deva,"Humayun agreed to allow Sher Shah to rule over Bengal and Bihar, but only as provinces granted to him by his Emperor, Humayun, falling short of outright sovereignty.
","हुमायूं ने शेरशाह को बंगाल और बिहार पर शासन करने देने की यह शर्त रखी कि सम्राट, हुमायूं, ने उसे उन प्रांतों पर शासन करने दिया है, जो कि पूर्ण संप्रभुता से बस थोड़ा ही कम था।
",minor translation differences,none
eng_Latn,hin_Deva,"The major part of the Mughal army, the artillery, was now immobile, and Humayun decided to engage in some diplomacy using Muhammad Aziz as ambassador.
","मुगल सेना का प्रमुख हिस्सा, तोपखाना, अब गतिहीन हो गया था, और हुमायूं ने मुहम्मद अज़ीज़ को राजदूत के रूप में भेज कर कुछ कूटनीति का प्रयोग करने का फैसला किया।
",minor translation differences,none
eng_Latn,hin_Deva,"This was to become an entrenched battle in which both sides spent a lot of time digging themselves into positions.
","यह एक ज़मीन में ख़ंदक़ों में छुप कर लड़ने वाला युद्ध बनता जा रहा था  जिसमें दोनों पक्षों ने खंदकें खोद कर खुद को मजबूत स्थिति में लाने में बहुत समय बिताया था।
",minor translation differences,none
eng_Latn,hin_Deva,"In June 1539, Sher Shah met Humayun in the Battle of Chausa on the banks of the Ganges, near Buxar.
","जून 1539 में, बक्सर के पास गंगा के तट पर चौसा की लड़ाई में शेरशाह और हुमायूं एक दूसरे के आमने-सामने थे।
","formatting/typographical error, minor translation differences",none
